AID,Sex,MinAge,SurveyDate,avg TOO_TOHcm,avg TOH_NIcm,avg NI_FBHcm,TH,VTB_Umb,age_class_mid_mo,age_months_initial,age_months,VTB_Umb_Flag,age_at_first_months
1164.0,M,A,2014-05-19,16.95,166.3,,,0.0,60.0,60.0,63.256578947368425,Umb=0,60.0
1164.0,M,A,2015-01-19,22.6,199.4,,,0.0,60.0,60.0,71.3157894736842,Umb=0,60.0
1165.0,F,A,2012-05-20,11.5,169.3,,,0.0,60.0,60.0,60.0,Umb=0,60.0
1165.0,F,A,2015-06-03,9.4,103.2,,,0.0,60.0,60.0,96.48026315789474,Umb=0,60.0
1165.0,F,A,2015-09-14,10.7,175.3,,,0.0,60.0,60.0,99.86842105263159,Umb=0,60.0
1166.0,F,C,2012-05-20,31.7,99.2,,,0.0,1.0,1.0,1.0,Umb=0,1.0
1166.0,F,C,2012-10-09,12.2,89.7,,,0.0,1.0,1.0,5.671052631578948,Umb=0,1.0
1166.0,F,C,2013-05-18,13.3,123.8,,,0.0,1.0,1.0,12.94078947368421,Umb=0,1.0
1166.0,F,C,2014-02-09,14.5,141.1,,,0.0,1.0,1.0,21.723684210526315,Umb=0,1.0
1166.0,F,C,2014-05-19,14.8,144.6,,,0.0,1.0,1.0,24.980263157894736,Umb=0,1.0
1166.0,F,C,2015-06-03,13.350000000000001,164.8,,,0.0,1.0,1.0,37.48026315789474,Umb=0,1.0
1166.0,F,C,2017-01-22,11.2,178.5,,,0.0,1.0,1.0,57.184210526315795,Umb=0,1.0
1166.0,F,C,2018-06-06,54.3,193.5,,,0.0,1.0,1.0,73.63157894736842,Umb=0,1.0
1167.0,M,A,2012-05-20,24.4,207.5,232.7,464.6,0.0,60.0,60.0,111.83145623072694,Umb=0,111.83145623072694
1168.0,F,C,2012-05-20,14.6,95.2,,,0.0,1.0,1.0,1.0,Umb=0,1.0
1168.0,F,C,2014-01-19,16.0,139.0,,,0.0,1.0,1.0,21.032894736842106,Umb=0,1.0
1168.0,F,C,2014-02-09,32.0,151.35,,,0.0,1.0,1.0,21.723684210526315,Umb=0,1.0
1168.0,F,C,2015-06-03,14.4,151.18,,,0.0,1.0,1.0,37.48026315789474,Umb=0,1.0
1168.0,F,C,2015-09-14,12.6,173.0,210.2,395.79999999999995,0.0,1.0,1.0,40.86842105263158,Umb=0,1.0
1168.0,F,C,2016-01-21,14.0,171.5,,,0.0,1.0,1.0,45.11184210526316,Umb=0,1.0
1168.0,F,C,2016-05-14,9.8,161.3,,,0.0,1.0,1.0,48.86184210526316,Umb=0,1.0
1168.0,F,C,2017-02-11,10.1,174.8,,,0.0,1.0,1.0,57.8421052631579,Umb=0,1.0
1168.0,F,C,2018-06-06,15.4,138.9,,,0.0,1.0,1.0,73.63157894736842,Umb=0,1.0
1169.0,F,A,2012-05-20,13.0,190.8,,,0.0,60.0,60.0,60.0,Umb=0,60.0
1169.0,F,A,2016-05-14,13.2,199.0,,,0.0,60.0,60.0,107.86184210526315,Umb=0,60.0
1169.0,F,A,2017-06-04,11.1,212.3,,,0.0,60.0,60.0,120.5592105263158,Umb=0,60.0
1169.0,F,A,2018-06-06,13.3,194.7,,,0.0,60.0,60.0,132.63157894736844,Umb=0,60.0
1170.0,F,A,2012-05-20,21.3,180.7,,,0.0,60.0,60.0,60.0,Umb=0,60.0
1170.0,F,A,2016-09-23,13.5,187.5,,,0.0,60.0,60.0,112.20394736842105,Umb=0,60.0
1171.0,M,A,2012-05-20,18.7,209.4,,,0.0,60.0,60.0,60.0,Umb=0,60.0
1173.0,F,A,2012-09-24,10.7,118.3,,,0.0,60.0,60.0,19.39634692222583,Umb=0,19.39634692222583
1173.0,F,A,2014-05-19,12.1,172.0,,,0.0,60.0,60.0,39.1989785011732,Umb=0,19.39634692222583
1173.0,F,A,2015-01-19,16.700000000000003,179.9,194.6,392.20000000000005,0.0,60.0,60.0,47.25818902748899,Umb=0,19.39634692222583
1173.0,F,A,2016-06-12,12.6,176.2,,,0.0,60.0,60.0,64.03450481696268,Umb=0,19.39634692222583
1173.0,F,A,2017-02-11,13.4,171.2,203.2,387.79999999999995,0.0,60.0,60.0,72.06082060643635,Umb=0,19.39634692222583
1174.0,F,A,2012-05-20,13.4,120.6,,,0.0,60.0,60.0,19.601841889830315,Umb=0,19.601841889830315
1174.0,F,A,2013-01-21,13.75,154.2,,,0.0,60.0,60.0,27.69394715298821,Umb=0,19.601841889830315
1174.0,F,A,2014-01-19,9.6,176.7,,,0.0,60.0,60.0,39.63473662667242,Umb=0,19.601841889830315
1174.0,F,A,2014-10-04,14.7,169.6,,,0.0,60.0,60.0,48.12157873193558,Umb=0,19.601841889830315
1174.0,F,A,2015-05-21,9.9,176.5,,,0.0,60.0,60.0,55.65447346877768,Umb=0,19.601841889830315
1174.0,F,A,2015-06-03,13.35,150.75,,,0.0,60.0,60.0,56.08210504772505,Umb=0,19.601841889830315
1174.0,F,A,2017-02-11,11.0,173.5,,,0.0,60.0,60.0,76.44394715298822,Umb=0,19.601841889830315
1174.0,F,A,2018-01-24,11.6,180.3,,,0.0,60.0,60.0,87.85842083719874,Umb=0,19.601841889830315
1174.0,F,A,2018-09-25,10.0,183.0,206.8,399.8,0.0,60.0,60.0,95.88473662667242,Umb=0,19.601841889830315
1175.0,M,A,2012-05-20,17.299999999999997,196.55,,,0.0,60.0,60.0,60.0,Umb=0,60.0
1175.0,M,A,2014-01-19,16.9,193.5,,,0.0,60.0,60.0,80.03289473684211,Umb=0,60.0
1175.0,M,A,2016-01-21,18.5,201.2,,,0.0,60.0,60.0,104.11184210526315,Umb=0,60.0
1175.0,M,A,2016-02-04,,195.9,,,0.0,60.0,60.0,104.57236842105263,Umb=0,60.0
1176.0,M,SA,2012-05-20,14.5,150.0,,,0.0,10.5,10.5,10.5,Umb=0,10.5
1177.0,M,SA,2012-05-20,14.9,133.1,,,0.0,10.5,10.5,10.5,Umb=0,10.5
1177.0,M,SA,2013-01-21,18.6,152.8,,,0.0,10.5,10.5,18.592105263157897,Umb=0,10.5
1178.0,M,SA,2012-05-20,12.1,144.0,,,0.0,10.5,10.5,10.5,Umb=0,10.5
1179.0,F,A,2012-05-20,14.9,162.4,,,0.0,60.0,60.0,44.408684610115465,Umb=0,44.408684610115465
1179.0,F,A,2013-01-21,13.6,162.3,200.9,376.8,0.0,60.0,60.0,52.50078987327336,Umb=0,44.408684610115465
1179.0,F,A,2013-05-18,50.5,165.6,,,0.0,60.0,60.0,56.34947408379968,Umb=0,44.408684610115465
1179.0,F,A,2015-10-27,13.2,172.1,209.5,394.79999999999995,0.0,60.0,60.0,85.69157934695758,Umb=0,44.408684610115465
1179.0,F,A,2016-09-23,15.8,172.7,217.2,405.7,0.0,60.0,60.0,96.61263197853651,Umb=0,44.408684610115465
1180.0,F,A,2013-01-21,16.4,184.9,,,0.0,60.0,60.0,64.87505028674825,Umb=0,64.87505028674825
1180.0,F,A,2014-02-09,11.8,196.7,,,0.0,60.0,60.0,77.50662923411667,Umb=0,64.87505028674825
1180.0,F,A,2014-09-20,16.6,175.2,,,0.0,60.0,60.0,84.84215554990615,Umb=0,64.87505028674825
1180.0,F,A,2014-10-04,15.0,174.9,327.1,509.1,0.0,60.0,60.0,85.30268186569562,Umb=0,64.87505028674825
1180.0,F,A,2015-01-19,13.8,165.5,,,0.0,60.0,60.0,88.82241870780088,Umb=0,64.87505028674825
1180.0,F,A,2015-02-06,13.1,186.6,,,0.0,60.0,60.0,89.41452397095878,Umb=0,64.87505028674825
1180.0,F,A,2018-01-24,12.7,193.60000000000002,,,0.0,60.0,60.0,125.03952397095878,Umb=0,64.87505028674825
1180.0,F,A,2018-02-03,14.2,189.5,,,0.0,60.0,60.0,125.36847133937982,Umb=0,64.87505028674825
1181.0,F,A,2013-02-05,18.4,184.5,,,0.0,60.0,60.0,63.93628306361308,Umb=0,63.93628306361308
1181.0,F,A,2013-05-18,59.1,181.6,,,0.0,60.0,60.0,67.29154622150782,Umb=0,63.93628306361308
1181.0,F,A,2013-06-05,13.1,172.9,,,0.0,60.0,60.0,67.88365148466572,Umb=0,63.93628306361308
1181.0,F,A,2015-06-03,13.1,167.1,,,0.0,60.0,60.0,91.83101990571835,Umb=0,63.93628306361308
1181.0,F,A,2015-10-27,15.0,189.3,,,0.0,60.0,60.0,96.6336514846657,Umb=0,63.93628306361308
1181.0,F,A,2016-10-04,15.0,191.7,,,0.0,60.0,60.0,107.91654622150782,Umb=0,63.93628306361308
1181.0,F,A,2017-01-22,14.1,190.1,215.6,419.79999999999995,0.0,60.0,60.0,111.5349672741394,Umb=0,63.93628306361308
1181.0,F,A,2017-09-19,14.7,183.6,208.7,407.0,0.0,60.0,60.0,119.42970411624466,Umb=0,63.93628306361308
1182.0,M,A,2012-05-20,22.4,155.0,,,0.0,60.0,60.0,41.431455997503896,Umb=0,41.431455997503896
1182.0,M,A,2015-05-21,24.1,215.8,,,0.0,60.0,60.0,77.48408757645126,Umb=0,41.431455997503896
1182.0,M,A,2015-06-03,17.85,204.0,240.4,480.20000000000005,0.0,60.0,60.0,77.91171915539863,Umb=0,41.431455997503896
