context,measurement,descriptor,group,model,success,aic,sse,n_obs,message,is_selected,params
wild_alignment_seed_avg TOH_NIcm_by_sex,avg TOH_NIcm,neck length (avg TOH_NIcm),M,logistic,True,22442.01511471708,2226732.1013909383,3471,,False,"A=211.5 [209.2, 213.8]; k=0.03991 [0.03748, 0.04235]; t0=0.5354 [-0.3227, 1.394]"
wild_alignment_seed_avg TOH_NIcm_by_sex,avg TOH_NIcm,neck length (avg TOH_NIcm),M,poly3,True,22424.68599737011,2214366.4584386107,3471,,False,a3=6.14e-05; a2=-0.02129; a1=2.562; a0=102.6
wild_alignment_seed_avg TOH_NIcm_by_sex,avg TOH_NIcm,neck length (avg TOH_NIcm),M,richards,True,22429.521296089606,2217453.34538142,3471,,False,"A=213.5 [209.8, 217.3]; k=0.03286 [0.02543, 0.04029]; t0=-9.419 [-20.92, 2.086]; nu=0.01 [-0.9413, 0.9613]"
wild_alignment_seed_avg TOH_NIcm_by_sex,avg TOH_NIcm,neck length (avg TOH_NIcm),M,von_bertalanffy,True,22423.121620278216,2214644.386785181,3471,,False,"A=214.5 [211.7, 217.2]; k=0.03046 [0.02834, 0.03258]; t0=-49.83 [-53.43, -46.22]"
wild_alignment_seed_avg TOH_NIcm_overall,avg TOH_NIcm,neck length (avg TOH_NIcm),overall,gompertz,True,60350.65055557108,5677476.355301329,9428,,True,"A=189.4 [188.4, 190.5]; k=0.04343 [0.04141, 0.04545]; t0=-10.2 [-10.97, -9.43]"
wild_alignment_seed_avg TOH_NIcm_overall,avg TOH_NIcm,neck length (avg TOH_NIcm),overall,logistic,True,60388.17891790712,5700120.7136774305,9428,,False,"A=188.4 [187.5, 189.4]; k=0.05112 [0.04886, 0.05339]; t0=-2.914 [-3.498, -2.329]"
wild_alignment_seed_avg TOH_NIcm_overall,avg TOH_NIcm,neck length (avg TOH_NIcm),overall,poly3,True,60302.99765283961,5647654.319234995,9428,,False,a3=0.000103; a2=-0.02865; a1=2.691; a0=100.5
wild_alignment_seed_avg TOH_NIcm_overall,avg TOH_NIcm,neck length (avg TOH_NIcm),overall,richards,True,60353.01215240964,5677694.110590957,9428,,False,"A=189.4 [188, 190.9]; k=0.04351 [0.03702, 0.04999]; t0=-10.12 [-16.73, -3.512]; nu=0.01 [-0.7597, 0.7797]"
wild_alignment_seed_avg TOH_NIcm_overall,avg TOH_NIcm,neck length (avg TOH_NIcm),overall,von_bertalanffy,True,60338.85351450215,5670376.701552438,9428,,False,"A=189.8 [188.8, 190.9]; k=0.04092 [0.03897, 0.04286]; t0=-39.98 [-42.07, -37.89]"
wild_alignment_seed_avg TOO_TOHcm_by_sex,avg TOO_TOHcm,ossicone length (avg TOO_TOHcm),F,gompertz,True,29717.215131804533,1061092.4252342875,5681,,True,"A=44.72 [30.14, 59.29]; k=1.576e-10 [-0.0005944, 0.0005944]; t0=605.9 [605.9, 605.9]"
wild_alignment_seed_avg TOO_TOHcm_by_sex,avg TOO_TOHcm,ossicone length (avg TOO_TOHcm),F,logistic,True,29717.21513178727,1061092.425231063,5681,,False,"A=32.9 [30.53, 35.27]; k=3.841e-10 [-0.00119, 0.00119]; t0=-48.92 [-1.406e+08, 1.406e+08]"
wild_alignment_seed_avg TOO_TOHcm_by_sex,avg TOO_TOHcm,ossicone length (avg TOO_TOHcm),F,poly3,True,29709.76564129463,1059328.924371731,5681,,False,a3=5.689e-07; a2=-0.0005133; a1=0.05277; a0=15.55
wild_alignment_seed_avg TOO_TOHcm_by_sex,avg TOO_TOHcm,ossicone length (avg TOO_TOHcm),F,richards,True,29719.215133683054,1061092.4255851558,5681,,False,"A=35.34 [-1.789e+07, 1.789e+07]; k=3.058e-09 [-0.003727, 0.003727]; t0=867.1 [-8.457e+04, 8.63e+04]; nu=0.6733 [-2.042e+06, 2.042e+06]"
wild_alignment_seed_avg TOO_TOHcm_by_sex,avg TOO_TOHcm,ossicone length (avg TOO_TOHcm),F,von_bertalanffy,True,29713.828539072667,1060460.06877911,5681,,False,"A=16.6 [16.18, 17.01]; k=0.1279 [-0.2002, 0.4561]; t0=-27.53 [-104.1, 49.03]"
wild_alignment_seed_avg TOO_TOHcm_by_sex,avg TOO_TOHcm,ossicone length (avg TOO_TOHcm),M,gompertz,True,18536.710527427247,745011.3265510874,3447,,True,"A=22.24 [21.39, 23.08]; k=0.05797 [0.03077, 0.08517]; t0=-13.27 [-21.72, -4.813]"
wild_alignment_seed_avg TOO_TOHcm_by_sex,avg TOO_TOHcm,ossicone length (avg TOO_TOHcm),M,logistic,True,18536.128590287542,744885.5611998755,3447,,False,"A=22.2 [21.39, 23]; k=0.06617 [0.03617, 0.09617]; t0=-8.215 [-14.78, -1.646]"
