file,AID,MinAge,Sex,VTB_Umb,survey index,SurveyDate(M/D/Y),avg TOO_TOHcm,SD TOO_TOHcm,# TOO_TOH,avg TOO_NIcm,SD TOO_NIcm,avg TOH_NIcm,SD TOH_NIcm,# TOH_NI,avg NI_FBHcm,SD NI_FBHcm,# NI_FBH,avg TOO_FBHcm,SD TOO_FBHcm,avg TOH_FBHcm,SD TOH_FBHcm,,,,,
2018Jan_383A5275.JPG,15,A,M,,19.1,1/24/2018,24.3,10.0,4,231.2,6.9,212.3,15.7,4,,,,425.2,3.3,402.3,10.5,,,,,
2012Sep.IMG_5950.JPG,16,A,M,,3.1,9/24/2012,19.6,4.2,3,194.3,4.4,184.2,9.0,3,,,,,,,,,,,,
2013May.IMG_2885.JPG,16,A,M,,5.1,5/18/2013,17.5,5.7,4,203.9,3.3,188.3,6.4,4,,,,,,,,,,,,
2013Jun.IMG_3903.JPG,16,A,M,,5.2,6/5/2013,15.9,1.5,5,167.1,71.4,152.9,70.5,4,,,,,,,,,,,,
2014Oct_IMG_7108.JPG,16,A,M,,9.2,10/4/2014,18.1,4.4,4,227.5,0.7,214.9,6.2,4,,,,,,,,,,,,
2015Jan_IMG_9746.JPG,16,A,M,,10.1,1/19/2015,22.2,13.5,4,149.2,10.5,146.0,10.6,4,,,,271.0,6.1,256.1,3.5,,,,,
2015Jan_IMG_9748.JPG,16,A,M,,10.1,1/19/2015,15.3,1.2,5,210.8,7.1,199.2,9.8,5,,,,,,,,,,,,
2015May_383A0303.JPG,16,A,M,,11.1,5/21/2015,16.3,1.5,4,218.1,5.1,203.3,6.1,4,,,,,,,,,,,,
2018Oct_2801.JPG,16,A,M,,21.2,10/2/2018,19.3,9.7,4,280.0,6.4,265.5,7.3,4,277.6,1.9,3,551.1,0.5,536.3,4.8,,,,,
2012FEB.IMG_0046.JPG,17,A,F,,1.2,2/7/2012,14.7,2.0,5,194.5,1.9,181.4,3.4,5,,,,,,,,,,,,
2012FEB.IMG_0048.JPG,17,A,F,,1.2,2/7/2012,12.7,3.4,4,167.8,29.6,157.7,27.2,4,,,,471.0,201.7,462.4,204.6,,,,,
2013May.IMG_2629.JPG,17,A,F,,5.1,5/18/2013,15.3,6.7,5,183.5,6.4,172.2,8.8,5,,,,,,,,,,,,
2013Jun.IMG_4052.JPG,17,A,F,,5.2,6/5/2013,17.5,8.8,3,175.6,6.6,159.5,12.6,3,,,,,,,,,,,,
2014FebIMG_1176.JPG,17,A,F,,7.2,2/9/2014,11.3,0.7,4,191.0,9.8,182.3,9.9,4,,,,,,,,,,,,
2016May_383A1446.JPG,17,A,F,,14.1,5/14/2016,12.3,1.7,3,190.6,2.9,179.9,0.5,3,,,,,,,,,,,,
2012Jan.IMG_8655.JPG,18,A,F,,1.1,1/25/2012,12.4,1.6,7,179.4,6.2,170.6,3.9,7,,,,,,,,,,,,
2013May.IMG_2792.JPG,18,A,F,,5.1,5/18/2013,12.7,1.9,5,190.6,27.9,180.8,26.6,5,,,,,,,,,,,,
2013Jun.IMG_3961.JPG,18,A,F,,5.2,6/5/2013,10.9,2.4,3,179.8,3.0,171.9,5.2,3,,,,,,,,,,,,
2015Jan_IMG_9719.JPG,18,A,F,,10.1,1/19/2015,12.9,3.0,3,177.4,1.0,168.3,1.8,3,,,,,,,,,,,,
2015Feb_IMG_1094.JPG,18,A,F,,10.2,2/6/2015,11.9,0.7,4,185.4,2.8,177.8,0.6,4,,,,,,,,,,,,
